   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString
      0    -11      1      1   0.00  11.41  14.95  -2.19  -2.19   0.20   0.20	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.99  12.35  -1.53  -1.53  -2.10  -2.09	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  11.36  12.14   2.16   2.16   1.63   1.63	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.37  10.29   0.24   0.24   1.52   1.52	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.27  12.23   0.21   0.21   2.71   2.71	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  10.55  11.10  -1.26  -1.26   1.91   1.91	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.03  19.35  18.98  -1.15  -1.15  -2.83  -2.86	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  18.69  13.46   0.06   0.06  -2.16  -2.16	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1     11      1      1   0.03  18.69  13.47   0.06   0.05  -2.16  -2.13	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  12.36   8.45   0.56   0.56  -1.39  -1.39	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.01  10.95  13.77   1.78   1.79   0.60   0.59	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.23  10.17  22.50   0.26   0.38  -0.80  -1.00	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1    -11      1      1   0.23  10.17  22.51   0.26   0.38  -0.80  -1.00	HLT_Ele8_CaloIdL_TrkIdVL_v2
      2    -11      1      1   0.00  10.17  10.08   0.26   0.26  -0.80  -0.80	HLT_Ele8_CaloIdL_TrkIdVL_v2
      3    -11      1      1   3.12  10.17  12.10   0.26   1.32  -0.80   2.13	HLT_Ele8_CaloIdL_TrkIdVL_v2
      4    -11      1      1   3.13  10.17  12.05   0.26   1.33  -0.80   2.14	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  22.63  22.50   0.38   0.38  -1.00  -1.00	HLT_Ele8_CaloIdL_TrkIdVL_v2
      1    -11      1      1   0.00  22.63  22.51   0.38   0.38  -1.00  -1.00	HLT_Ele8_CaloIdL_TrkIdVL_v2
      2    -11      1      1   0.23  22.63  10.08   0.38   0.26  -1.00  -0.80	HLT_Ele8_CaloIdL_TrkIdVL_v2
      3    -11      1      1   3.27  22.63  12.10   0.38   1.32  -1.00   2.13	HLT_Ele8_CaloIdL_TrkIdVL_v2
      4    -11      1      1   3.28  22.63  12.05   0.38   1.33  -1.00   2.14	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  11.18   8.29   1.11   1.11  -0.18  -0.18	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  43.66  43.72  -1.63  -1.63  -2.50  -2.51	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.95  12.19  -1.46  -1.46   0.09   0.09	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  11.11   9.54  -1.38  -1.38   2.31   2.31	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.01  10.93  15.00   2.01   2.01   0.96   0.95	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0    -11      1      1   0.00  22.81  14.31   0.39   0.39   0.20   0.20	HLT_Ele8_CaloIdL_TrkIdVL_v2

      0     11      1      1   0.00  13.83   8.00  -0.11  -0.11   1.74   1.74	HLT_Ele8_CaloIdL_TrkIdVL_v2

