   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString
      0      0      0      0   3.14  25.48  56.26   1.24   1.89   1.24  -1.83	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      0      0   2.54  25.48  42.31   1.24  -1.27   1.24   0.86	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   0.73  11.71  65.87  -0.68  -0.73   0.25  -0.47	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      0      0   3.66  11.71  55.20  -0.68   1.25   0.25  -2.86	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.73  27.86  44.62   2.34   2.63   1.27  -1.45	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   4.55  20.04  53.99  -2.29   1.28  -1.27   1.54	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.03  23.84  40.77  -2.52  -3.67  -2.42   1.05	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.19  11.15  42.51   1.33   0.37  -1.59   1.45	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   4.92  15.63  44.07   0.52  -3.37  -1.87   1.15	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.11  53.61 113.76   1.40   0.96  -2.36   0.84	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      1      0   0.05  13.90 113.76   0.95   0.96   0.80   0.84	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.39  18.01  43.65  -1.39  -2.72  -2.70   0.46	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.28  29.75  66.40  -0.18   0.81  -2.46   0.69	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.42  22.17  41.78   2.36   0.99   1.97  -1.18	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.02  37.84  56.81   0.64   0.08   1.42  -1.55	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.11  18.17  49.43   0.95   1.14  -2.10   1.01	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.91  29.11  53.65  -0.37  -0.03   0.18  -2.71	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   4.15  34.22  47.17   0.75   3.59   0.82  -2.44	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.82  29.44  66.04  -1.48  -1.57   0.37  -3.09	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.77  21.37  85.50   1.07   2.25   3.14   0.63	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      0      0   3.31  21.37  58.39   1.07  -2.05   3.14  -2.06	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   4.58  12.80  85.50  -2.30   2.25   0.11   0.63	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      0      0   2.18  12.80  58.39  -2.30  -2.05   0.11  -2.06	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.08  29.22  63.48  -0.21  -0.77  -0.54   2.71	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.42  51.37 102.16  -2.28   0.03  -2.51   1.26	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      0      0   6.35  51.37  46.45  -2.28   3.78  -2.51  -0.64	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.73  12.29  46.53   2.08   4.11  -0.03   3.12	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.38  23.60  80.07  -2.08   0.22   1.69  -0.78	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.75  22.50  54.67  -1.40   0.72   0.85  -2.34	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      1      0   0.06  29.46  71.26   1.06   1.10  -2.78  -2.82	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.80  25.22  71.26  -1.47   1.10  -0.03  -2.82	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.09  14.03  48.68   0.65  -0.05  -1.21   1.80	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.62  25.96  56.16   0.78  -1.40  -1.29   1.60	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.87  35.27  43.71  -1.09   0.41   1.82  -0.63	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.95  70.53  83.12   0.67  -1.27   0.29   2.51	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      0      0   2.63  70.53  62.32   0.67  -0.50   0.29  -2.06	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.92  42.26  52.24   1.62   0.80  -0.10   2.71	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      0      0   3.11  42.26  44.47   1.62   1.98  -0.10   2.99	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.03  14.38  56.68   0.91   1.43   0.91  -2.39	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      1      0   0.11  15.92  68.79   0.61   0.57   2.79   2.69	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      1      0   4.11  15.92  68.61   0.61  -2.48   2.79  -0.77	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.68  28.45  42.12  -1.27  -1.31  -1.34   1.34	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.85  20.93  45.58  -1.60   1.46   1.44  -2.52	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      1      0   0.10  32.01 133.32  -2.16  -2.14  -1.39  -1.48	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   4.99  70.00 133.32   1.96  -2.14   1.35  -1.48	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.42  22.15  57.75   0.39  -1.99  -0.85   2.97	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.18  14.32  40.32  -0.40   0.87  -2.86   0.51	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.99  18.41  64.12  -2.47  -1.68   2.25  -1.14	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      1      0   0.12  19.91  43.93   2.00   2.07   0.50   0.59	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   4.05  26.38  43.93  -0.64   2.07  -2.69   0.59	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.54  24.41  56.46   0.60  -2.07   2.57  -1.39	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      1      0   0.04  23.58  56.46  -2.04  -2.07  -1.40  -1.39	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   5.70  10.06  44.44  -2.26   2.91   1.52  -2.34	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.50  11.19  45.43   1.13  -0.72   0.19  -2.78	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.85  13.38  59.36  -0.89  -0.03  -0.47   3.09	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      0      0   1.20  13.38  47.57  -0.89  -1.89  -0.47   0.20	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      1      0   0.12  19.85  45.71  -0.59  -0.71   0.34   0.37	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.05  15.94  45.71  -0.20  -0.71  -2.64   0.37	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.89  16.42  41.18   1.99   0.28  -1.25   2.69	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.41  11.11  54.43  -0.61   1.90  -1.27   2.71	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   1.83  20.12  42.39   2.36   1.62   2.72  -1.89	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.82  15.53  53.63  -1.39   0.80   0.05  -3.10	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.04  25.72  40.10   2.13   2.17  -2.89   0.36	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.89  10.70  43.87   1.17   1.25   1.78  -1.10	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   2.81  24.97  50.64  -0.92  -1.10  -0.82   2.66	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   0.92  13.59  46.23  -1.39  -1.70  -1.02  -1.88	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.15  37.30  42.93  -2.41  -2.00  -1.64   1.49	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      1      0   0.07  12.27  42.93  -2.02  -2.00   1.56   1.49	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.11  12.02  69.15   0.77   1.94  -0.21  -3.09	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   4.00  16.81  52.16   2.41  -0.82   1.01  -1.35	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

      0      0      0      0   3.08  32.25 105.90   1.94   0.41   0.71  -2.90	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2
      1      0      0      0   3.56  32.25  56.54   1.94  -1.51   0.71  -0.16	HLT_Ele8_CaloIdL_CaloIsoVL_Jet40_v2

