   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString

      0      0      1      0   0.02  19.03  19.19   2.43   2.45  -1.61  -1.63	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.12  18.38  19.77   2.37   2.41  -2.09  -1.98	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  19.92  19.42  -1.37  -1.34   3.09   3.05	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  24.54  24.40  -0.15  -0.12  -0.23  -0.19	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  31.56  31.38  -1.45  -1.45  -1.45  -1.41	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  27.62  28.18   0.91   0.87   0.36   0.37	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  18.76  18.54  -2.43  -2.45   1.65   1.60	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  84.14  94.72   2.23   2.25  -2.41  -2.34	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.08  19.81  21.01  -2.11  -2.12  -0.80  -0.88	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  13.61  17.11   1.68   1.67  -0.16  -0.12	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  34.27  33.60  -0.91  -0.93  -2.12  -2.15	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  16.06  17.10   2.26   2.19   2.94   2.98	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  22.57  21.70   1.14   1.16   1.97   2.07	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  21.75  23.46   2.12   2.11  -0.71  -0.68	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  38.21  45.69   2.30   2.30  -2.14  -2.08	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  32.10  46.92   1.79   1.81  -2.61  -2.63	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  18.23  18.15  -0.07  -0.10   0.26   0.22	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.01  27.36  27.70  -2.27  -2.25   2.18   2.18	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  20.23  20.27  -0.80  -0.79   1.96   1.92	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  23.33  23.82   2.42   2.40   1.07   1.06	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.04  26.74  27.03  -0.16  -0.19   2.39   2.42	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      0      0   3.18  19.82  21.20  -2.44  -1.39  -1.02   1.99	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  23.74  23.28  -1.03  -1.05   2.92   2.94	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.05  12.24  28.22  -0.28  -0.26  -2.45  -2.40	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  29.12  32.86  -0.86  -0.88   2.93   2.93	HLT_Ele17_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  20.46  20.01   2.32   2.36   2.80   2.75	HLT_Ele17_CaloIdL_CaloIsoVL_v2

