   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString
      0      0      1      0   0.05  11.45  12.87  -1.43  -1.44   1.45   1.41	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.09  14.48  14.90   0.71   0.78  -1.54  -1.60	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  13.74  14.53   2.44   2.43   2.10   2.09	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  10.45  10.42   0.34   0.33   0.80   0.73	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  10.69  13.49   2.36   2.36   2.64   2.61	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  13.49  14.97  -0.60  -0.60  -2.17  -2.19	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  12.83  11.72   0.95   0.97  -0.83  -0.77	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  14.70  14.58  -0.33  -0.30  -1.15  -1.10	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      0      0   3.43  11.20  16.04  -1.04   0.82  -2.73   0.16	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  16.03  16.04   0.83   0.82   0.18   0.16	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  12.79  12.95   0.93   0.90   2.38   2.39	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  12.12   8.92   1.52   1.47   2.77   2.83	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.06  24.35  24.31   0.24   0.23  -0.19  -0.13	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.10  19.78  19.40  -0.02  -0.08  -0.31  -0.24	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.02  29.35  29.30   0.51   0.50  -2.71  -2.73	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  12.37  12.28  -1.29  -1.28   2.37   2.29	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.07  33.67  33.16   1.81   1.83  -0.74  -0.67	HLT_Ele8_CaloIdL_CaloIsoVL_v2

      0      0      1      0   0.03  18.79  18.70  -0.47  -0.46   2.89   2.86	HLT_Ele8_CaloIdL_CaloIsoVL_v2

