   itrg     id  matchmatchId     dr lep pt trg ptlep etatrg etalep phitrg phi	trigString
      0      0      0      0   2.92  20.34  21.91   1.89   1.94  -0.80   2.12	HLT_Ele8_v2
      1      0      1      0   0.07  20.34  25.29   1.89   1.87  -0.80  -0.74	HLT_Ele8_v2

      0      0      1      0   0.02  18.49  22.59  -0.84  -0.86   1.81   1.81	HLT_Ele8_v2

      0      0      1      0   0.02  41.98  42.32   0.98   0.96  -2.86  -2.85	HLT_Ele8_v2

      0      0      0      0   3.17  23.84  14.67   0.93  -0.50   2.25  -1.20	HLT_Ele8_v2

      0      0      0      0   4.54  14.86   9.24  -2.01   1.34  -3.10   0.11	HLT_Ele8_v2
      1      0      1      0   0.03  14.86  14.85  -2.01  -2.01  -3.10  -3.08	HLT_Ele8_v2

      0      0      1      0   0.10  14.68  14.52  -0.93  -0.91  -1.95  -1.85	HLT_Ele8_v2

      0      0      1      0   0.08  10.24  10.34  -2.21  -2.22  -1.34  -1.26	HLT_Ele8_v2

      0      0      1      0   0.08  13.50  13.31   1.28   1.28   2.38   2.46	HLT_Ele8_v2

      0      0      1      0   0.03  16.79  16.98   1.18   1.16  -0.67  -0.69	HLT_Ele8_v2

      0      0      1      0   0.06  11.28  11.08  -2.02  -2.05  -2.65  -2.60	HLT_Ele8_v2

      0      0      1      0   0.07  21.68  21.46   0.25   0.21   1.05   1.10	HLT_Ele8_v2

      0      0      1      0   0.09  16.35  16.25   0.85   0.84  -0.99  -1.09	HLT_Ele8_v2

      0      0      1      0   0.13  10.87  11.98  -0.03  -0.09   1.03   1.14	HLT_Ele8_v2

      0      0      1      0   0.07  13.38   9.10   0.01  -0.02  -0.74  -0.81	HLT_Ele8_v2

      0      0      1      0   0.02  26.49  26.31  -0.62  -0.60  -1.93  -1.95	HLT_Ele8_v2

      0      0      1      0   0.07  11.68  10.53   1.48   1.47   1.17   1.10	HLT_Ele8_v2

