tb  1  0     0.0    0.0    1.0  540.0  540.0  0.907 0.147E-01 0.784E-03 0.270E-01 0.619E-03 1.8370 0.147E-01 0.270E-01
tb  1  0     0.0    0.0    1.0  550.0  550.0  0.907 0.128E-01 0.784E-03 0.236E-01 0.618E-03 1.8451 0.128E-01 0.237E-01
tb  1  0     0.0    0.0    1.0  560.0  560.0  0.907 0.112E-01 0.784E-03 0.208E-01 0.617E-03 1.8533 0.112E-01 0.208E-01
tb  1  0     0.0    0.0    1.0  570.0  570.0  0.907 0.980E-02 0.785E-03 0.182E-01 0.616E-03 1.8611 0.980E-02 0.182E-01
tb  1  0     0.0    0.0    1.0  580.0  580.0  0.907 0.859E-02 0.785E-03 0.159E-01 0.615E-03 1.8564 0.859E-02 0.159E-01
tb  1  0     0.0    0.0    1.0  590.0  590.0  0.907 0.753E-02 0.785E-03 0.141E-01 0.692E-03 1.8668 0.754E-02 0.141E-01
tb  1  0     0.0    0.0    1.0  600.0  600.0  0.907 0.662E-02 0.785E-03 0.124E-01 0.628E-03 1.8743 0.662E-02 0.124E-01
tb  1  0     0.0    0.0    1.0  610.0  610.0  0.907 0.582E-02 0.785E-03 0.110E-01 0.611E-03 1.8820 0.582E-02 0.110E-01
tb  1  0     0.0    0.0    1.0  620.0  620.0  0.907 0.512E-02 0.785E-03 0.968E-02 0.610E-03 1.8903 0.512E-02 0.968E-02
tb  1  0     0.0    0.0    1.0  630.0  630.0  0.907 0.451E-02 0.785E-03 0.857E-02 0.609E-03 1.8993 0.451E-02 0.857E-02
tb  1  0     0.0    0.0    1.0  640.0  640.0  0.907 0.398E-02 0.785E-03 0.761E-02 0.773E-03 1.9108 0.398E-02 0.761E-02
tb  1  0     0.0    0.0    1.0  650.0  650.0  0.907 0.351E-02 0.785E-03 0.674E-02 0.620E-03 1.9176 0.352E-02 0.674E-02
tb  1  0     0.0    0.0    1.0  660.0  660.0  0.907 0.311E-02 0.785E-03 0.598E-02 0.606E-03 1.9263 0.311E-02 0.599E-02
tb  1  0     0.0    0.0    1.0  670.0  670.0  0.907 0.275E-02 0.785E-03 0.532E-02 0.605E-03 1.9362 0.275E-02 0.532E-02
tb  1  0     0.0    0.0    1.0  680.0  680.0  0.907 0.243E-02 0.785E-03 0.473E-02 0.648E-03 1.9461 0.243E-02 0.474E-02
tb  1  0     0.0    0.0    1.0  690.0  690.0  0.907 0.216E-02 0.785E-03 0.425E-02 0.603E-03 1.9719 0.216E-02 0.425E-02
tb  1  0     0.0    0.0    1.0  700.0  700.0  0.907 0.191E-02 0.785E-03 0.379E-02 0.602E-03 1.9817 0.191E-02 0.379E-02
tb  1  0     0.0    0.0    1.0  710.0  710.0  0.907 0.170E-02 0.785E-03 0.338E-02 0.601E-03 1.9919 0.170E-02 0.338E-02
tb  1  0     0.0    0.0    1.0  720.0  720.0  0.907 0.151E-02 0.785E-03 0.302E-02 0.600E-03 2.0025 0.151E-02 0.302E-02
tb  1  0     0.0    0.0    1.0  730.0  730.0  0.907 0.134E-02 0.786E-03 0.270E-02 0.599E-03 2.0135 0.134E-02 0.270E-02
tb  1  0     0.0    0.0    1.0  740.0  740.0  0.907 0.119E-02 0.786E-03 0.241E-02 0.598E-03 2.0249 0.119E-02 0.241E-02
tb  1  0     0.0    0.0    1.0  750.0  750.0  0.907 0.106E-02 0.786E-03 0.216E-02 0.598E-03 2.0353 0.106E-02 0.216E-02
tb  1  0     0.0    0.0    1.0  760.0  760.0  0.907 0.944E-03 0.786E-03 0.193E-02 0.597E-03 2.0468 0.944E-03 0.193E-02
tb  1  0     0.0    0.0    1.0  770.0  770.0  0.907 0.841E-03 0.786E-03 0.173E-02 0.596E-03 2.0576 0.842E-03 0.173E-02
tb  1  0     0.0    0.0    1.0  780.0  780.0  0.907 0.750E-03 0.786E-03 0.155E-02 0.595E-03 2.0690 0.750E-03 0.155E-02
tb  1  0     0.0    0.0    1.0  790.0  790.0  0.907 0.669E-03 0.786E-03 0.139E-02 0.594E-03 2.0823 0.669E-03 0.139E-02
tb  1  0     0.0    0.0    1.0  800.0  800.0  0.907 0.597E-03 0.786E-03 0.125E-02 0.593E-03 2.0931 0.598E-03 0.125E-02
tb  1  0     0.0    0.0    1.0  810.0  810.0  0.907 0.534E-03 0.786E-03 0.112E-02 0.592E-03 2.1057 0.534E-03 0.112E-02
tb  1  0     0.0    0.0    1.0  820.0  820.0  0.907 0.477E-03 0.786E-03 0.100E-02 0.958E-03 2.1025 0.477E-03 0.100E-02
tb  1  0     0.0    0.0    1.0  830.0  830.0  0.907 0.426E-03 0.786E-03 0.906E-03 0.136E-02 2.1241 0.426E-03 0.906E-03
tb  1  0     0.0    0.0    1.0  840.0  840.0  0.907 0.381E-03 0.786E-03 0.811E-03 0.690E-03 2.1265 0.381E-03 0.811E-03
tb  1  0     0.0    0.0    1.0  850.0  850.0  0.907 0.341E-03 0.786E-03 0.730E-03 0.629E-03 2.1389 0.341E-03 0.730E-03
tb  1  0     0.0    0.0    1.0  860.0  860.0  0.907 0.306E-03 0.786E-03 0.657E-03 0.636E-03 2.1515 0.306E-03 0.658E-03
tb  1  0     0.0    0.0    1.0  870.0  870.0  0.907 0.274E-03 0.786E-03 0.593E-03 0.615E-03 2.1654 0.274E-03 0.593E-03
tb  1  0     0.0    0.0    1.0  880.0  880.0  0.907 0.245E-03 0.787E-03 0.534E-03 0.587E-03 2.1782 0.245E-03 0.534E-03
tb  1  0     0.0    0.0    1.0  890.0  890.0  0.907 0.220E-03 0.787E-03 0.482E-03 0.586E-03 2.1913 0.220E-03 0.482E-03
tb  1  0     0.0    0.0    1.0  900.0  900.0  0.907 0.197E-03 0.787E-03 0.435E-03 0.585E-03 2.2060 0.197E-03 0.435E-03
tb  1  0     0.0    0.0    1.0  910.0  910.0  0.907 0.177E-03 0.787E-03 0.393E-03 0.585E-03 2.2221 0.177E-03 0.393E-03
tb  1  0     0.0    0.0    1.0  920.0  920.0  0.907 0.159E-03 0.787E-03 0.355E-03 0.628E-03 2.2357 0.159E-03 0.355E-03
tb  1  0     0.0    0.0    1.0  930.0  930.0  0.907 0.142E-03 0.787E-03 0.321E-03 0.606E-03 2.2497 0.143E-03 0.321E-03
tb  1  0     0.0    0.0    1.0  940.0  940.0  0.907 0.128E-03 0.787E-03 0.290E-03 0.725E-03 2.2696 0.128E-03 0.291E-03
tb  1  0     0.0    0.0    1.0  950.0  950.0  0.907 0.115E-03 0.787E-03 0.262E-03 0.835E-03 2.2835 0.115E-03 0.263E-03
tb  1  0     0.0    0.0    1.0  960.0  960.0  0.907 0.103E-03 0.787E-03 0.238E-03 0.784E-03 2.3013 0.103E-03 0.238E-03
tb  1  0     0.0    0.0    1.0  970.0  970.0  0.907 0.928E-04 0.787E-03 0.215E-03 0.720E-03 2.3185 0.929E-04 0.215E-03
tb  1  0     0.0    0.0    1.0  980.0  980.0  0.907 0.835E-04 0.787E-03 0.195E-03 0.745E-03 2.3341 0.835E-04 0.195E-03
tb  1  0     0.0    0.0    1.0  990.0  990.0  0.907 0.751E-04 0.787E-03 0.176E-03 0.579E-03 2.3470 0.751E-04 0.176E-03
tb  1  0     0.0    0.0    1.0 1000.0 1000.0  0.907 0.675E-04 0.787E-03 0.160E-03 0.579E-03 2.3624 0.675E-04 0.160E-03
tb  1  0     0.0    0.0    1.0 1010.0 1010.0  0.907 0.608E-04 0.787E-03 0.145E-03 0.578E-03 2.3801 0.608E-04 0.145E-03
tb  1  0     0.0    0.0    1.0 1020.0 1020.0  0.907 0.547E-04 0.787E-03 0.131E-03 0.578E-03 2.4001 0.547E-04 0.131E-03
tb  1  0     0.0    0.0    1.0 1030.0 1030.0  0.907 0.492E-04 0.787E-03 0.119E-03 0.598E-03 2.4153 0.492E-04 0.119E-03
tb  1  0     0.0    0.0    1.0 1040.0 1040.0  0.907 0.443E-04 0.787E-03 0.108E-03 0.661E-03 2.4370 0.443E-04 0.108E-03
tb  1  0     0.0    0.0    1.0 1050.0 1050.0  0.907 0.399E-04 0.787E-03 0.982E-04 0.142E-02 2.4605 0.399E-04 0.982E-04
tb  1  0     0.0    0.0    1.0 1060.0 1060.0  0.907 0.359E-04 0.787E-03 0.890E-04 0.716E-03 2.4748 0.360E-04 0.890E-04
tb  1  0     0.0    0.0    1.0 1070.0 1070.0  0.907 0.324E-04 0.787E-03 0.808E-04 0.799E-03 2.4964 0.324E-04 0.809E-04
tb  1  0     0.0    0.0    1.0 1080.0 1080.0  0.907 0.292E-04 0.787E-03 0.733E-04 0.688E-03 2.5125 0.292E-04 0.733E-04
tb  1  0     0.0    0.0    1.0 1090.0 1090.0  0.907 0.263E-04 0.787E-03 0.666E-04 0.574E-03 2.5316 0.263E-04 0.666E-04
tb  1  0     0.0    0.0    1.0 1100.0 1100.0  0.907 0.237E-04 0.787E-03 0.604E-04 0.585E-03 2.5498 0.237E-04 0.605E-04
tb  1  0     0.0    0.0    1.0 1110.0 1110.0  0.907 0.214E-04 0.787E-03 0.550E-04 0.573E-03 2.5721 0.214E-04 0.550E-04
tb  1  0     0.0    0.0    1.0 1120.0 1120.0  0.907 0.193E-04 0.787E-03 0.500E-04 0.572E-03 2.5945 0.193E-04 0.500E-04
tb  1  0     0.0    0.0    1.0 1130.0 1130.0  0.907 0.174E-04 0.787E-03 0.454E-04 0.583E-03 2.6132 0.174E-04 0.454E-04
tb  1  0     0.0    0.0    1.0 1140.0 1140.0  0.907 0.157E-04 0.787E-03 0.413E-04 0.621E-03 2.6361 0.157E-04 0.413E-04
tb  1  0     0.0    0.0    1.0 1150.0 1150.0  0.907 0.141E-04 0.787E-03 0.376E-04 0.627E-03 2.6610 0.141E-04 0.376E-04
tb  1  0     0.0    0.0    1.0 1160.0 1160.0  0.907 0.127E-04 0.787E-03 0.342E-04 0.581E-03 2.6842 0.127E-04 0.342E-04
tb  1  0     0.0    0.0    1.0 1170.0 1170.0  0.907 0.115E-04 0.787E-03 0.311E-04 0.612E-03 2.7049 0.115E-04 0.311E-04
tb  1  0     0.0    0.0    1.0 1180.0 1180.0  0.907 0.104E-04 0.787E-03 0.283E-04 0.568E-03 2.7284 0.104E-04 0.283E-04
tb  1  0     0.0    0.0    1.0 1190.0 1190.0  0.907 0.935E-05 0.788E-03 0.258E-04 0.725E-03 2.7549 0.936E-05 0.258E-04
tb  1  0     0.0    0.0    1.0 1200.0 1200.0  0.907 0.844E-05 0.788E-03 0.235E-04 0.684E-03 2.7795 0.844E-05 0.235E-04
tb  1  0     0.0    0.0    1.0 1210.0 1210.0  0.907 0.762E-05 0.788E-03 0.214E-04 0.726E-03 2.8065 0.762E-05 0.214E-04
tb  1  0     0.0    0.0    1.0 1220.0 1220.0  0.907 0.687E-05 0.788E-03 0.195E-04 0.953E-03 2.8353 0.687E-05 0.195E-04
